City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Bima,ID,76.57,overcast clouds,-8.4667,118.7167,Lambitu Hotel
1,Takoradi,GH,80.74,broken clouds,4.8845,-1.7554,Raybow International Hotel
9,Atuona,PF,77.14,clear sky,-9.8,-139.0333,Villa Enata
15,Rikitea,PF,72.77,light rain,-23.1203,-134.9692,People ThankYou
17,Faanui,PF,78.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
18,Hilo,US,73.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
26,Bethel,US,72.18,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
32,Yulara,AU,78.64,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
34,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
35,Tiarei,PF,73.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
41,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
45,Kapaa,US,77.32,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
50,Halifax,CA,72.09,broken clouds,44.6453,-63.5724,Hotel Halifax
51,Pyu,MM,75.87,heavy intensity rain,18.4833,96.4333,Mr Bo Bo
57,Hamilton,US,72.77,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
60,Musoma,TZ,75.78,overcast clouds,-1.5,33.8,New Peninsula Hotel
63,Bengkulu,ID,78.17,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
68,Darnah,LY,78.75,clear sky,32.767,22.6367,فندق الفردوس
72,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
74,Canton,CN,79.95,overcast clouds,23.1167,113.25,Guangzhou Hotel
81,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
83,Sernovodskoye,RU,77.56,broken clouds,43.3158,45.1637,"Resort ""Sernovodsk Caucasus"""
94,Puerto Ayora,EC,69.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
95,Los Llanos De Aridane,ES,76.75,few clouds,28.6585,-17.9182,Valle Aridane
97,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
99,Karratha,AU,72.59,few clouds,-20.7377,116.8463,ibis Styles Karratha
102,Kuching,MY,80.82,few clouds,1.55,110.3333,The Ranee Boutique Suites
106,Bandarbeyla,SO,77.85,overcast clouds,9.4942,50.8122,JABIR HOTEL
110,Arraial Do Cabo,BR,75.16,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
111,Lagoa,PT,71.76,few clouds,39.05,-27.9833,Casa Das Faias
115,Jamestown,US,69.03,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
117,Boda,CF,78.57,overcast clouds,4.3189,17.4695,
122,Labuhan,ID,80.44,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
129,Bereda,ES,73.42,clear sky,43.2686,-7.5406,Pazo de Verdes
131,Vanimo,PG,75.27,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
132,Dossor,KZ,69.53,overcast clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
133,Luoyang,CN,70.75,light rain,34.6836,112.4536,易家国际青年旅舍
134,Angoche,MZ,77.95,clear sky,-16.2325,39.9086,Guest House HESADA
136,Amahai,ID,77.14,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
137,Tabou,CI,80.22,light rain,4.423,-7.3528,hotêl doufoulougou
140,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
141,Saposoa,PE,79.41,broken clouds,-6.934,-76.7716,Hostal Primavera
142,Miyakonojo,JP,73.24,broken clouds,31.7333,131.0667,APA HOTEL MIYAZAKI-MIYAKONOJO-EKIMAE
144,Takhli,TH,77.99,overcast clouds,15.2634,100.3438,โรงเเรมกอล์ฟ 19
147,Ponta Do Sol,PT,79.43,scattered clouds,32.6667,-17.1,Hotel do Campo
148,Milledgeville,US,73.29,overcast clouds,33.0801,-83.2321,Hampton Inn Milledgeville
152,Shimoda,JP,72.01,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
155,El Dorado,US,70.68,clear sky,38.7666,-120.5177,South Fork Group Campground
165,Jinka,ET,74.59,broken clouds,5.65,36.65,
166,Astana,KZ,71.55,few clouds,51.1801,71.446,King Hotel Astana
168,Plouzane,FR,69.89,broken clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
170,Kampong Thum,KH,77.88,overcast clouds,12.7111,104.8887,Sambor Village Hotel
173,Cimarron Hills,US,78.46,clear sky,38.8586,-104.6989,"Holiday Inn Express & Suites Colorado Springs-First & Main, an IHG Hotel"
175,Guerrero Negro,MX,71.67,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
178,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
181,Mayor Pablo Lagerenza,PY,80.4,broken clouds,-19.9309,-60.7718,
182,Sambava,MG,73.26,broken clouds,-14.2667,50.1667,Melrose
185,Viesca,MX,77.36,overcast clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
187,Camacha,PT,76.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
193,Acari,PE,69.67,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
196,Gizo,SB,80.6,broken clouds,-8.103,156.8419,Imagination Island
199,Krasnoye,UA,78.15,overcast clouds,49.9145,24.6134,Feniks
202,Ambilobe,MG,78.67,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
203,Abu Samrah,SY,80.26,clear sky,35.3029,37.1841,
204,Katobu,ID,74.5,overcast clouds,-4.9408,122.5276,La Ode Husein
205,Lobito,AO,73.6,few clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
206,Woodward,US,74.97,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
217,Obo,CF,76.26,light rain,5.3998,26.4869,
218,Gemena,CD,72.37,overcast clouds,3.25,19.7667,Hôtel Goshen
223,Kahului,US,74.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
229,Daru,PG,76.14,overcast clouds,-9.0763,143.2092,Daru Lodge
232,Rizhao,CN,69.37,light rain,35.4275,119.4553,Novotel Rizhao Suning
234,Beloha,MG,75.02,clear sky,-25.1667,45.05,
236,Rodrigues Alves,BR,79.0,broken clouds,-7.738,-72.6509,Pousada Aconchego
237,Orocue,CO,79.92,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
239,Avera,US,73.27,overcast clouds,33.194,-82.5271,
243,Veraval,IN,80.26,overcast clouds,20.9,70.3667,Lords Inn Somnath
248,Harper,LR,80.08,light rain,4.375,-7.7169,Screensaver
254,Stephenville,US,78.76,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
255,Balele,PH,79.29,light rain,14.0653,121.0936,Villa Glover
263,Weligama,LK,79.92,overcast clouds,5.9667,80.4167,Weligama Bay Resort
265,Lorengau,PG,78.33,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
271,Mahebourg,MU,73.69,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
281,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
286,Tagusao,PH,80.92,moderate rain,9.1924,117.8141,Toledo
287,Freeport,US,76.98,broken clouds,40.6576,-73.5832,The Freeport Inn and Marina
288,Teguise,ES,80.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
290,Saint George,US,79.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
292,Marquetalia,CO,73.02,few clouds,5.2966,-75.055,Hotel Sara Sofia
293,Sfantu Gheorghe,RO,75.65,scattered clouds,45.8667,25.7833,Hotel Park
295,Guarapari,BR,78.69,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
296,Yichang,CN,79.23,light rain,30.7144,111.2847,Gezhouba Hotel
308,Samarai,PG,77.34,overcast clouds,-10.6167,150.6667,Nuli Sapi
310,Luganville,VU,75.22,broken clouds,-15.5333,167.1667,The Espiritu Hotel
311,Feldkirchen An Der Donau,AT,73.72,few clouds,48.3452,14.0513,Sonne - Hotel | Gasthof | Restaurant
318,Tautira,PF,73.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
322,Manggar,ID,80.98,scattered clouds,-2.8833,108.2667,Guest Hotel
323,Namibe,AO,72.23,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
325,Hastings,GB,73.89,scattered clouds,50.8552,0.5729,Zanzibar Hotel
326,Mandla,IN,73.18,overcast clouds,22.6,80.3833,Bison Resort
327,San Ciro De Acosta,MX,71.67,overcast clouds,21.6333,-99.8167,Hotel Maria Isabel
