City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bima,ID,-8.4667,118.7167,76.57,90,96,4.9,overcast clouds
1,Takoradi,GH,4.8845,-1.7554,80.74,77,57,9.78,broken clouds
2,Nouadhibou,MR,20.931,-17.0347,84.18,58,1,14.97,sand
3,Codrington,AU,-38.2667,141.9667,45.86,80,20,10.13,few clouds
4,Busselton,AU,-33.65,115.3333,44.1,72,88,11.25,overcast clouds
5,Tasiilaq,GL,65.6145,-37.6368,39.36,70,36,5.06,scattered clouds
6,Valdivia,CL,-39.8142,-73.2459,44.69,60,26,2.44,scattered clouds
7,Bluff,NZ,-46.6,168.3333,35.8,74,69,12.17,broken clouds
8,Laguna,US,38.421,-121.4238,62.42,89,1,3.0,mist
9,Atuona,PF,-9.8,-139.0333,77.14,71,6,18.92,clear sky
10,Sawakin,SD,19.1059,37.3321,89.67,52,0,5.97,clear sky
11,Siguiri,GN,11.6667,-9.5,82.49,72,94,2.1,light rain
12,Butaritari,KI,3.0707,172.7902,81.86,75,41,13.96,light rain
13,Yanam,IN,16.7333,82.2167,84.6,84,26,1.68,scattered clouds
14,Verkhniye Kigi,RU,55.4083,58.6044,39.87,89,82,11.74,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,72.77,77,5,10.96,light rain
16,Maniitsoq,GL,65.4167,-52.9,36.75,43,100,2.04,overcast clouds
17,Faanui,PF,-16.4833,-151.75,78.3,75,15,22.95,light rain
18,Hilo,US,19.7297,-155.09,73.8,91,75,4.61,broken clouds
19,Hithadhoo,MV,-0.6,73.0833,83.91,70,100,10.63,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,35.26,60,75,6.91,broken clouds
21,Thompson,CA,55.7435,-97.8558,46.56,71,1,11.5,clear sky
22,Barrow,US,71.2906,-156.7887,33.82,86,90,12.66,overcast clouds
23,Pevek,RU,69.7008,170.3133,31.51,96,100,14.67,light snow
24,Vardo,NO,70.3705,31.1107,43.0,70,75,4.61,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,35.62,93,90,13.8,light rain
26,Bethel,US,41.3712,-73.414,72.18,85,75,10.36,broken clouds
27,Constitucion,CL,-35.3333,-72.4167,59.31,59,0,10.04,clear sky
28,Novonukutskiy,RU,53.7002,102.7117,45.25,93,82,2.64,broken clouds
29,Carora,VE,10.1755,-70.0827,92.89,33,30,8.95,scattered clouds
